State_Name,Year,Median_Income
AK,2018,84540.0
AK,2019,95010.0
AK,2020,89650.0
AK,2021,93150.0
AK,2022,95670.0
AK,2023,100700.0
AK,2024,91260.0
AL,2018,61420.0
AL,2019,68110.0
AL,2020,65600.0
AL,2021,65360.0
AL,2022,63870.0
AL,2023,62230.0
AL,2024,65560.0
AR,2018,61230.0
AR,2019,66100.0
AR,2020,60900.0
AR,2021,58310.0
AR,2022,57540.0
AR,2023,64880.0
AR,2024,64840.0
AZ,2018,76600.0
AZ,2019,85650.0
AZ,2020,80470.0
AZ,2021,81310.0
AZ,2022,78300.0
AZ,2023,84800.0
AZ,2024,84700.0
CA,2018,86690.0
CA,2019,94660.0
CA,2020,93140.0
CA,2021,93660.0
CA,2022,90930.0
CA,2023,92200.0
CA,2024,100600.0
CO,2018,89820.0
CO,2019,87870.0
CO,2020,100500.0
CO,2021,97540.0
CO,2022,95870.0
CO,2023,99140.0
CO,2024,106500.0
CT,2018,89550.0
CT,2019,105800.0
CT,2020,95280.0
CT,2021,92950.0
CT,2022,96720.0
CT,2023,94620.0
CT,2024,99240.0
DE,2018,79960.0
DE,2019,89920.0
DE,2020,83990.0
DE,2021,78860.0
DE,2022,86090.0
DE,2023,88570.0
DE,2024,85860.0
FL,2018,67210.0
FL,2019,70740.0
FL,2020,69280.0
FL,2021,68580.0
FL,2022,69680.0
FL,2023,74070.0
FL,2024,75630.0
GA,2018,68650.0
GA,2019,68630.0
GA,2020,71090.0
GA,2021,70610.0
GA,2022,72200.0
GA,2023,74290.0
GA,2024,81210.0
HI,2018,98520.0
HI,2019,106700.0
HI,2020,96950.0
HI,2021,94370.0
HI,2022,97010.0
HI,2023,99880.0
HI,2024,98240.0
IA,2018,84520.0
IA,2019,80050.0
IA,2020,82540.0
IA,2021,83160.0
IA,2022,81360.0
IA,2023,82950.0
IA,2024,85480.0
ID,2018,72230.0
ID,2019,79970.0
ID,2020,80030.0
ID,2021,88310.0
ID,2022,77370.0
ID,2023,75820.0
ID,2024,81650.0
IL,2018,86270.0
IL,2019,90170.0
IL,2020,89160.0
IL,2021,90990.0
IL,2022,83170.0
IL,2023,90090.0
IL,2024,84210.0
IN,2018,73660.0
IN,2019,80830.0
IN,2020,80130.0
IN,2021,80590.0
IN,2022,74650.0
IN,2023,78900.0
IN,2024,76710.0
KS,2018,78640.0
KS,2019,88660.0
KS,2020,87660.0
KS,2021,87230.0
KS,2022,77870.0
KS,2023,87030.0
KS,2024,87690.0
KY,2018,67100.0
KY,2019,67460.0
KY,2020,68080.0
KY,2021,63870.0
KY,2022,59560.0
KY,2023,63590.0
KY,2024,64790.0
LA,2018,61460.0
LA,2019,62670.0
LA,2020,61390.0
LA,2021,65680.0
LA,2022,62180.0
LA,2023,59140.0
LA,2024,60740.0
MA,2018,106200.0
MA,2019,106300.0
MA,2020,105300.0
MA,2021,99390.0
MA,2022,99720.0
MA,2023,109300.0
MA,2024,113900.0
MD,2018,106000.0
MD,2019,115800.0
MD,2020,113700.0
MD,2021,111700.0
MD,2022,115400.0
MD,2023,104600.0
MD,2024,109700.0
ME,2018,72150.0
ME,2019,80650.0
ME,2020,76400.0
ME,2021,81680.0
ME,2022,80130.0
ME,2023,77700.0
ME,2024,90730.0
MI,2018,74350.0
MI,2019,77710.0
MI,2020,77240.0
MI,2021,74040.0
MI,2022,73550.0
MI,2023,78950.0
MI,2024,79460.0
MN,2018,88330.0
MN,2019,98680.0
MN,2020,94460.0
MN,2021,92360.0
MN,2022,96350.0
MN,2023,92680.0
MN,2024,92350.0
MO,2018,75920.0
MO,2019,73440.0
MO,2020,74580.0
MO,2021,73010.0
MO,2022,76240.0
MO,2023,80310.0
MO,2024,78390.0
MS,2018,52620.0
MS,2019,54280.0
MS,2020,54140.0
MS,2021,53550.0
MS,2022,51820.0
MS,2023,56490.0
MS,2024,55980.0
MT,2018,70940.0
MT,2019,72950.0
MT,2020,68060.0
MT,2021,74630.0
MT,2022,77790.0
MT,2023,81270.0
MT,2024,81920.0
NC,2018,65640.0
NC,2019,74120.0
NC,2020,72480.0
NC,2021,72210.0
NC,2022,69370.0
NC,2023,70390.0
NC,2024,67220.0
ND,2018,81790.0
ND,2019,84870.0
ND,2020,76900.0
ND,2021,79090.0
ND,2022,83910.0
ND,2023,78950.0
ND,2024,88080.0
NE,2018,83110.0
NE,2019,88560.0
NE,2020,86660.0
NE,2021,89680.0
NE,2022,83540.0
NE,2023,91500.0
NE,2024,86140.0
NH,2018,100000.0
NH,2019,105300.0
NH,2020,106600.0
NH,2021,102000.0
NH,2022,90580.0
NH,2023,101300.0
NH,2024,111800.0
NJ,2018,91230.0
NJ,2019,106300.0
NJ,2020,102600.0
NJ,2021,101700.0
NJ,2022,98430.0
NJ,2023,93960.0
NJ,2024,103500.0
NM,2018,59380.0
NM,2019,64370.0
NM,2020,61060.0
NM,2021,61380.0
NM,2022,60150.0
NM,2023,62560.0
NM,2024,64140.0
NV,2018,76090.0
NV,2019,85930.0
NV,2020,73360.0
NV,2021,73870.0
NV,2022,77100.0
NV,2023,83410.0
NV,2024,80590.0
NY,2018,82740.0
NY,2019,87080.0
NY,2020,82350.0
NY,2021,83720.0
NY,2022,80920.0
NY,2023,83710.0
NY,2024,86830.0
OH,2018,75800.0
OH,2019,78370.0
OH,2020,72420.0
OH,2021,71970.0
OH,2022,71980.0
OH,2023,75680.0
OH,2024,80520.0
OK,2018,66950.0
OK,2019,71990.0
OK,2020,62940.0
OK,2021,69000.0
OK,2022,67630.0
OK,2023,69070.0
OK,2024,65310.0
OR,2018,85070.0
OR,2019,90190.0
OR,2020,92180.0
OR,2021,93980.0
OR,2022,92510.0
OR,2023,91030.0
OR,2024,89700.0
PA,2018,79360.0
PA,2019,85540.0
PA,2020,84910.0
PA,2021,83380.0
PA,2022,76970.0
PA,2023,81880.0
PA,2024,80060.0
RI,2018,76580.0
RI,2019,85020.0
RI,2020,96170.0
RI,2021,86090.0
RI,2022,85980.0
RI,2023,83980.0
RI,2024,92290.0
SC,2018,70650.0
SC,2019,75180.0
SC,2020,72380.0
SC,2021,71810.0
SC,2022,65840.0
SC,2023,70890.0
SC,2024,76780.0
SD,2018,73130.0
SD,2019,77870.0
SD,2020,84190.0
SD,2021,84840.0
SD,2022,71620.0
SD,2023,83860.0
SD,2024,79850.0
TN,2018,68950.0
TN,2019,68630.0
TN,2020,65940.0
TN,2021,71370.0
TN,2022,69700.0
TN,2023,74580.0
TN,2024,75860.0
TX,2018,73530.0
TX,2019,81740.0
TX,2020,82050.0
TX,2021,77390.0
TX,2022,79560.0
TX,2023,81110.0
TX,2024,81490.0
UT,2018,94780.0
UT,2019,102400.0
UT,2020,100700.0
UT,2021,100600.0
UT,2022,102100.0
UT,2023,103800.0
UT,2024,104000.0
VA,2018,94890.0
VA,2019,98550.0
VA,2020,98610.0
VA,2021,92160.0
VA,2022,90790.0
VA,2023,98990.0
VA,2024,97720.0
VT,2018,86170.0
VT,2019,90050.0
VT,2020,80670.0
VT,2021,87350.0
VT,2022,76960.0
VT,2023,87400.0
VT,2024,85260.0
WA,2018,98060.0
WA,2019,99930.0
WA,2020,97580.0
WA,2021,100600.0
WA,2022,95330.0
WA,2023,95850.0
WA,2024,97500.0
WI,2018,77030.0
WI,2019,81630.0
WI,2020,80850.0
WI,2021,80300.0
WI,2022,78170.0
WI,2023,81750.0
WI,2024,82560.0
WV,2018,62200.0
WV,2019,65090.0
WV,2020,62340.0
WV,2021,53770.0
WV,2022,55920.0
WV,2023,61970.0
WV,2024,63150.0
WY,2018,76920.0
WY,2019,78940.0
WY,2020,78500.0
WY,2021,81580.0
WY,2022,77920.0
WY,2023,79200.0
WY,2024,78680.0
