State_Name,2018,2019,2020,2021,2022,2023,2024
.Alabama,4891628,4907965,5032962,5050058,5076868,5117850,5163055
.Alaska,736624,733603,732906,734590,733659,734654,736537
.Arizona,7164228,7291843,7186647,7274022,7370065,7452073,7556424
.Arkansas,3012161,3020985,3014399,3027127,3047429,3069856,3096080
.California,39437463,39437610,39527808,39152927,39125347,39181667,39364774
.Colorado,5697155,5758486,5786873,5814368,5853355,5912240,5988502
.Connecticut,3574561,3566022,3579643,3607765,3618707,3641369,3674449
.Delaware,966985,976668,991890,1005130,1020279,1035354,1050123
.District of Columbia,704147,708253,670958,669637,674501,682559,691310
.Florida,21254926,21492056,21591325,21836698,22413989,22929248,23265838
.Georgia,10519389,10628020,10732595,10793038,10929992,11063669,11204208
.Hawaii,1423102,1415615,1451130,1446909,1437812,1434950,1434952
.Idaho,1752074,1789060,1849328,1904855,1942951,1970497,2000872
.Illinois,12724685,12667017,12795348,12703354,12609577,12633389,12703033
.Indiana,6698481,6731010,6790290,6814223,6841491,6881373,6934754
.Iowa,3149900,3159596,3191081,3199037,3201890,3214739,3230454
.Kansas,2912748,2912635,2938274,2938966,2938034,2949749,2965252
.Kentucky,4464273,4472345,4508271,4508348,4521238,4549953,4584046
.Louisiana,4664450,4658285,4652145,4628595,4600892,4598777,4614878
.Maine,1340123,1345770,1364546,1379009,1391585,1401992,1408438
.Maryland,6042153,6054954,6178387,6176035,6183257,6204927,6245314
.Massachusetts,6885720,6894883,6985320,6996721,7025465,7073479,7138560
.Michigan,9987286,9984795,10072294,10042362,10043906,10062124,10099962
.Minnesota,5608762,5640053,5710562,5714055,5727565,5752998,5797405
.Mississippi,2982879,2978227,2958385,2947603,2941237,2942470,2950172
.Missouri,6125986,6140475,6155074,6172551,6179285,6205956,6243544
.Montana,1061818,1070123,1087156,1106416,1121533,1130612,1137557
.Nebraska,1925512,1932571,1963318,1964697,1972595,1988172,2005591
.Nevada,3030725,3090771,3116851,3148472,3177672,3211077,3253543
.New Hampshire,1355064,1360783,1378752,1387907,1396647,1401530,1408518
.New Jersey,8891730,8891258,9270476,9266509,9298402,9395315,9506354
.New Mexico,2093754,2099634,2118446,2117300,2112859,2119349,2126774
.New York,19544098,19463131,20122262,19835345,19713025,19786543,20001419
.North Carolina,10391358,10501384,10450215,10565503,10705768,10871849,11052061
.North Dakota,760062,763724,779612,777977,780191,787071,793387
.Ohio,11680892,11696507,11798534,11761443,11764950,11808390,11860621
.Oklahoma,3943488,3960676,3965243,3992760,4025327,4062716,4097758
.Oregon,4183538,4216116,4243544,4254691,4245964,4250392,4265324
.Pennsylvania,12809107,12798883,12995576,13016628,12984655,13009406,13045848
.Rhode Island,1059338,1058158,1096487,1097381,1098275,1101183,1110415
.South Carolina,5091702,5157702,5131992,5194346,5288957,5390798,5490316
.South Dakota,879386,887127,887808,896303,909156,917739,927110
.Tennessee,6778180,6830325,6927736,6966687,7063325,7153029,7251291
.Texas,28624564,28986794,29237895,29572672,30118002,30719247,31318578
.Utah,3155153,3203383,3283970,3339874,3393928,3449259,3502983
.Vermont,624802,624046,642965,647238,647614,647722,646521
.Virginia,8510920,8556642,8637303,8660007,8681038,8732034,8819642
.Washington,7526793,7614024,7726812,7744316,7786828,7838655,7927958
.West Virginia,1805953,1795263,1791670,1785921,1774003,1770036,1767402
.Wisconsin,5809319,5824581,5897371,5882128,5903472,5930350,5957168
.Wyoming,579054,580116,577669,579662,581742,584666,586722
